"Date","Days","Open","High","Low","Settle"
1190678400000,6417,372.5,375.5,370.75,371.75
1190764800000,6418,370.75,376,368.25,375
1190851200000,6419,376,389.5,374.5,386.75
1190937600000,6420,386.25,387.5,370,373
1191196800000,6423,374.5,375.75,368,368.75
1191283200000,6424,360.5,360.5,348.75,348.75
1191369600000,6425,343,351.25,342.25,344.5
1191456000000,6426,348.5,348.5,341,342.25
1191542400000,6427,341.5,343.75,339.75,342.25
1191801600000,6430,339.5,340,335,339.75
1191888000000,6431,340.25,348.5,339.5,342.5
1191974400000,6432,347.5,348.5,344.75,347.25
1192060800000,6433,348,348,341.5,343.75
1192147200000,6434,353,357.5,347.75,351
1192406400000,6437,357,362.5,354,362
1192492800000,6438,359.5,361.75,354.75,360.5
1192579200000,6439,358,360.25,355.5,358
1192665600000,6440,364.5,367.5,362.5,367.25
1192752000000,6441,368.5,371,364,370.25
1193011200000,6444,362,366.75,359,364.5
1193097600000,6445,366.5,368.5,359.5,361
1193184000000,6446,358.25,361.25,355.75,356.5
1193270400000,6447,361,367,359.25,366.25
1193356800000,6448,369.5,374.5,369.5,372
1193616000000,6451,376,378.75,375,376
1193702400000,6452,371.75,373.5,368.75,370.25
1193788800000,6453,370.5,380,370.5,375.5
1193875200000,6454,374.5,374.5,367,368.75
1193961600000,6455,371.5,380.75,370.75,377
1194220800000,6458,373.25,377.5,372,375.25
1194307200000,6459,379,387.5,379,385.75
1194393600000,6460,390,390.5,382.25,384.25
1194480000000,6461,386.5,390,385,389.5
1194566400000,6462,388,389,380.5,386.75
1194825600000,6465,380,382,378,379
1194912000000,6466,380.75,381.5,374.25,374.75
1194998400000,6467,377.25,385,377,383
1195084800000,6468,380,381,374.5,374.75
1195171200000,6469,377.5,381.5,377.5,379.5
1195430400000,6472,382,383.5,376.5,377.5
1195516800000,6473,378.5,385.75,378.5,381.25
1195603200000,6474,380.5,382.25,377.75,382
1195776000000,6476,383.5,389.75,383.5,389
1196035200000,6479,391,391.75,382.25,385.75
1196121600000,6480,383,383.75,381.5,383.5
1196208000000,6481,381,387.5,380.5,387.25
1196294400000,6482,388.5,390,382.5,383.5
1196380800000,6483,380,387.5,378,384.5
1196640000000,6486,383,392,382.5,386
1196726400000,6487,388.5,395.75,388.5,394
1196812800000,6488,396,396,390.75,394
1196899200000,6489,391.5,395.25,391.5,394.75
1196985600000,6490,396.5,400,394.5,399.5
1197244800000,6493,400.5,402.25,398.25,400.5
1197331200000,6494,402,407.75,399,406.5
1197417600000,6495,407,417.25,407,416.75
1197504000000,6496,416.75,422,412.5,418.75
1197590400000,6497,419,420.5,416.75,420
1197849600000,6500,441.5,441.5,431.5,438.75
1197936000000,6501,435,436,431.25,432
1198022400000,6502,434.25,436.25,432.5,434.75
1198108800000,6503,436.5,438,431.75,437.5
1198195200000,6504,438.5,448,438.5,443.5
1198454400000,6507,442.25,444.5,441,444
1198627200000,6509,447,455,447,452.25
1198713600000,6510,452.5,455,450.75,454.75
1198800000000,6511,455.5,457,451.75,452
1199059200000,6514,450.75,456.75,449.25,455.5
1199232000000,6516,460,469.5,460,462.5
1199318400000,6517,469,469,460.75,466
1199404800000,6518,462.5,469,459,466.75
1199664000000,6521,465,468.25,462,466.25
